Timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
9/1/2021 02:06,all,0.2,0,0.2,0,0,99.6,1942904,2868400,792508,19.8,74208,1005040,2222904,55.55,967696,741180,344,ens33,0.2,0,0.02,0,0,0,0,0
9/1/2021 02:06,all,0,0,0,0,0,100,1942148,2867652,793244,19.82,74216,1005048,2226440,55.64,967712,741180,348,ens33,0.2,0,0.02,0,0,0,0,0
9/1/2021 02:06,all,0.2,0,0.2,0,0,99.6,1942148,2867660,793244,19.82,74224,1005040,2226440,55.64,967720,741180,136,ens33,0.4,0,0.04,0,0,0,0,0
9/1/2021 02:06,all,0.81,0,0.81,0,0,98.37,1943664,2869188,791716,19.78,74240,1005036,2226440,55.64,966500,740924,224,ens33,26.6,1.2,9.13,0.22,0,0,0,0.01
9/1/2021 02:06,all,0.2,0,0.61,0.2,0,98.99,1943660,2869220,791676,19.78,74244,1005060,2224564,55.59,966644,740848,224,ens33,0.4,0.2,0.04,0.01,0,0,0,0
9/1/2021 02:06,all,12.68,51.31,10.87,0.2,0,24.95,1892768,2819320,840048,20.99,74256,1005908,2346832,58.65,1017176,738804,276,ens33,0.2,0,0.02,0,0,0,0,0
9/1/2021 02:06,all,24.75,0,4.02,0,0,71.23,1903372,2830004,829516,20.73,74304,1005912,2320356,57.98,1008660,737732,376,ens33,0.6,0.4,0.09,0.04,0,0,0,0
9/1/2021 02:06,all,0,0,0,0,0,100,1903380,2830020,829500,20.73,74312,1005912,2320356,57.98,1007944,737732,400,ens33,0.6,0.2,0.05,0.01,0,0,0,0
9/1/2021 02:06,all,0,0,0.81,0,0,99.19,1898064,2826440,833060,20.82,74320,1007616,2320356,57.98,1012468,739440,400,ens33,248.6,91,362.27,7.2,0,0,0,0.3
9/1/2021 02:06,all,0.21,0,2.48,0,0,97.31,1893080,2828032,831324,20.77,74328,1014124,2322712,58.04,1010984,745904,1840,ens33,929.8,208.6,1373.24,13.75,0,0,0,1.12
9/1/2021 02:07,all,0.21,0,5.44,0,0,94.35,1882748,2827724,831524,20.78,74336,1023992,2322516,58.04,1011020,755788,6396,ens33,1398.4,269.2,2065.82,17.47,0,0,0,1.69
9/1/2021 02:07,all,0,0,5.22,0,0,94.78,1871628,2827492,831552,20.78,74344,1034768,2322516,58.04,1011028,766512,17156,ens33,1515.97,283.83,2239.52,18.53,0,0,0,1.83
9/1/2021 02:07,all,0.2,0,1.21,0,0,98.59,1870052,2827336,831756,20.79,74352,1036096,2322516,58.04,1011052,767892,340,ens33,183.6,37.4,270.25,2.49,0,0,0,0.22
9/1/2021 02:07,all,0,0,0.81,0,0,99.19,1869076,2826604,832484,20.8,74360,1036328,2322512,58.04,1011060,768124,344,ens33,33,8,48.03,0.57,0,0,0,0.04
9/1/2021 02:07,all,1.41,0,0.4,0,0,98.18,1868052,2825660,833408,20.83,74368,1036420,2322548,58.04,1013336,768332,408,ens33,38.4,8,49.37,0.6,0,0,0,0.04
9/1/2021 02:07,all,0.42,0,3.95,0,0,95.63,1851404,2827944,830816,20.76,74408,1055092,2322548,58.04,1011020,786964,868,ens33,1286.6,231.4,1900.55,15.17,0,0,0,1.56
9/1/2021 02:07,all,0.21,0,6,0,0,93.79,1839560,2828108,830524,20.75,74564,1066752,2322548,58.04,1011172,798660,3776,ens33,1657,290.8,2448.15,18.96,0,0,0,2.01
9/1/2021 02:08,all,1.06,0,7.22,0.21,0,91.51,1824660,2827788,830676,20.76,74960,1080708,2322548,58.04,1011592,812632,17768,ens33,1972.2,350.8,2915.58,22.73,0,0,0,2.39
9/1/2021 02:08,all,0,0,4.78,0,0,95.22,1814768,2827504,830804,20.76,75016,1090148,2322548,58.04,1011640,822060,27120,ens33,1336.4,243,1974.36,15.66,0,0,0,1.62
9/1/2021 02:08,all,0.83,0,4.15,0,0,95.02,1806672,2826492,831680,20.78,75024,1097144,2322548,58.04,1011664,829012,34060,ens33,994.2,178.2,1469.09,11.55,0,0,0,1.2
9/1/2021 02:08,all,0.61,0,3.27,0,0,96.12,1801916,2826484,831676,20.78,75044,1101764,2322532,58.04,1011680,833684,220,ens33,653.69,114.77,964.66,7.43,0,0,0,0.79
9/1/2021 02:08,all,2.22,0,0.81,0,0,96.98,1801884,2826504,831640,20.78,75060,1101780,2322544,58.04,1011720,833676,284,ens33,1,0.2,0.68,0.01,0,0,0,0
9/1/2021 02:08,all,5.45,0,8.69,2.63,0,83.23,1770996,2825864,831724,20.78,75224,1131308,2322548,58.04,1041296,833796,300,ens33,8.2,0.4,2.4,0.07,0,0,0,0
9/1/2021 02:08,all,37.3,0,51.61,6.25,0,4.84,1608064,2702852,953712,23.83,78900,1166584,2442400,61.03,1196256,840212,944,ens33,20.8,1,6.98,0.16,0,0,0,0.01
9/1/2021 02:08,all,79.6,0,20.4,0,0,0,1590340,2689748,966876,24.16,78916,1171068,2475644,61.87,1209704,844432,6440,ens33,533.2,97,785.33,6.25,0,0,0,0.64
9/1/2021 02:08,all,79.2,0,20.8,0,0,0,1712536,2812924,843644,21.08,78924,1172072,2328284,58.18,1086788,845284,6028,ens33,1.8,0.2,0.16,0.01,0,0,0,0
9/1/2021 02:08,all,87.82,0,11.98,0.2,0,0,1674088,2775496,880936,22.01,78932,1173016,2376964,59.4,1124468,846000,6892,ens33,1.6,0,0.15,0,0,0,0,0
